attendance_percent,avg_grade,assignments_submitted,previous_failures,disengaged,feedback_text
88,27.500000000000004,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
92,25.0,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
80,37.5,5.0,3,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I had previous failures and confidence is low.
96,72.5,8.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments consistently. I have no previous failures.
92,40.0,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
80,75.0,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
100,60.0,6.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
88,27.500000000000004,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
100,85.0,6.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
100,72.5,6.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
100,45.0,6.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
92,55.00000000000001,7.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
96,70.0,3.0,0,0,I attend classes regularly. my grades are mostly good. I submit few assignments and need support. I have no previous failures.
96,50.0,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
100,75.0,8.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments consistently. I have no previous failures.
92,70.0,3.0,0,0,I attend classes regularly. my grades are mostly good. I submit few assignments and need support. I have no previous failures.
88,67.5,7.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
92,45.0,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
68,27.500000000000004,2.0,3,1,I attend most classes but still miss some sessions. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
92,45.0,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
100,67.5,6.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
100,67.5,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
96,75.0,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
100,65.0,6.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
96,47.5,8.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments consistently. I have no previous failures.
72,37.5,2.0,2,1,I attend most classes but still miss some sessions. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
96,60.0,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
92,77.5,3.0,0,0,I attend classes regularly. my grades are mostly good. I submit few assignments and need support. I have no previous failures.
92,55.00000000000001,5.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
68,55.00000000000001,4.0,0,0,I attend most classes but still miss some sessions. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
100,50.0,6.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
100,82.5,6.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
100,82.5,6.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
100,45.0,6.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
100,65.0,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
100,37.5,3.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I have no previous failures.
96,77.5,8.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments consistently. I have no previous failures.
86,77.5,7.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
96,60.0,8.0,0,0,I attend classes regularly. my performance is average but unstable. I submit assignments consistently. I have no previous failures.
84,67.5,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
50,42.5,4.0,1,1,I miss classes often and struggle to keep up. my grades are low and I feel behind. I submit few assignments and need support. I had previous failures and confidence is low.
84,60.0,3.0,0,0,I attend classes regularly. my performance is average but unstable. I submit few assignments and need support. I have no previous failures.
96,92.5,5.0,0,0,I attend classes regularly. my grades are mostly good. I submit assignments but not always on time. I have no previous failures.
100,40.0,3.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit few assignments and need support. I have no previous failures.
72,50.0,4.0,1,1,I attend most classes but still miss some sessions. my performance is average but unstable. I submit few assignments and need support. I had previous failures and confidence is low.
84,40.0,5.0,0,0,I attend classes regularly. my grades are low and I feel behind. I submit assignments but not always on time. I have no previous failures.
76,57.49999999999999,5.0,0,0,I attend most classes but still miss some sessions. my performance is average but unstable. I submit assignments but not always on time. I have no previous failures.
